;CO_GT;PT08_CO;NMHC_GT;PT08_NMHC;NOx_GT;PT08_NOx;NO2_GT;PT08_NO2;O3;Temp;RH;AH;C6H6
1;0,175592133;0,629259972;-0,38766881;0,30081796;0,275070353;0,347718768;0,404508253;0,300806798;0,555414225;-0,413214325;-0,011553056;-0,414883511;11,9
2;-0,249950464;0,348196656;-0,569908568;-0,040685458;-0,494381403;0,79131256;-0,261898828;-0,139384394;-0,183944598;-0,475452661;-0,090202706;-0,595726033;9,4
3;-0,108102932;0,802857902;-0,685007363;-0,100730014;-0,152402845;0,6634974;0,436241924;-0,152623227;0,070834456;-0,765898228;0,322707958;-0,457434693;9
4;-0,108102932;0,695392517;-0,723373627;-0,066954951;0,348351472;0,483052468;0,690111288;-0,056641689;0,393055024;-0,952613235;0,71595621;-0,253077044;9,2
5;-0,533645529;0,265530975;-0,862451337;-0,487266849;-0,152402845;0,907849913;0,499709265;-0,367754261;0,160756475;-0,911121011;0,68973966;-0,24131948;6,5
6;-0,817340593;-0,044465329;-0,924796517;-0,810006342;-0,665370682;1,404073477;-0,134964146;-0,688795958;-0,241394777;-0,911121011;0,66352311;-0,263714839;4,7
7;-0,817340593;-0,094064738;-0,958366999;-1,03517343;-0,99513572;1,873982155;-0,737903886;-0,88737845;-0,780926891;-0,890374899;0,506223809;-0,400886412;3,6
8;-0,959188125;-0,296595657;-0,958366999;-1,102723557;-0,99513572;1,84014873;-0,769637557;-0,88737845;-0,788420393;-1,01485157;0,71595621;-0,345457899;3,3
9;-1,030111892;-0,470193587;-0,991937481;-1,339149;-1,202765559;2,313816678;-1,277376285;-1,076031818;-1,063182117;-1,01485157;0,696293797;-0,375691633;2,3
10;-1,171959424;-0,585925541;-1,06867001;-1,703169125;-1,556957637;3,588209013;-2,292853742;-1,38714439;-1,557753222;-0,952613235;0,466898984;-0,533578913;1,1
11;-1,171959424;-0,643791518;-1,030303746;-1,549304949;-1,337114278;2,911540516;-1,658180332;-1,25806577;-1,432861529;-1,056343794;0,591427597;-0,540857404;1,6
12;-0,888264359;-0,263529384;-0,967958565;-1,121487481;-0,555449003;1,979241699;-0,579235533;-0,867520201;-0,788420393;-1,11858213;0,68973966;-0,50502483;3,2
13;-0,249950464;0,517661302;-0,800106157;-0,247088622;0,372778512;0,648460322;0,372774583;-0,278392139;0,140773804;-0,994105458;0,545548634;-0,510063786;8
14;-0,108102932;0,592060415;-0,689803146;-0,021921534;-0,176829885;0,434181965;0,023704207;-0,059951397;-0,044065902;-1,056343794;0,755281035;-0,351616623;9,5
15;-0,462721762;0,104332897;-0,737760977;-0,521041912;-0,384459724;0,956720415;-0,071496805;-0,513381422;-0,463701991;-0,994105458;0,61109001;-0,429440494;6,3
16;-0,604569295;-0,118864442;-0,900817602;-0,764972925;-0,592089562;1,370240052;-0,261898828;-0,791396912;-0,93579259;-1,056343794;0,578319322;-0,541417288;5
17;-0,533645529;0,116732749;-0,814493506;-0,719939507;-0,482167883;1,268739777;-0,166697817;-0,662318292;-0,953277427;-1,263804913;1,161637562;-0,20604679;5,2
18;-0,32087423;0,323396952;-0,80490194;-0,363424951;0,030799954;0,746201327;0,372774583;-0,212197975;-0,616069856;-1,512758255;1,790834765;0,041421924;7,3
19;0,388363431;0,674726096;-0,320527847;0,255784542;0,77582467;0,0732921;0,880513311;0,42657571;-0,021585397;-1,574996591;2,098879229;0,233462126;11,5
20;-0,108102932;0,422595769;-0,72816941;-0,123246723;0,494913711;0,445459773;0,81704597;0,151869928;-0,248888279;-1,512758255;2,013675441;0,256977253;8,8
21;-0,108102932;0,348196656;-0,651436881;-0,202055204;0,604835391;0,524404431;0,975714323;-0,033473732;-0,221412106;-1,222312689;1,450019614;0,139961503;8,3
22;0,388363431;0,724325505;-0,38766881;0,203245555;1,215511387;0,167273836;1,102649005;0,390168919;0,145769471;-1,201566577;1,214070662;-0,075033941;11,2
23;1,735914988;1,542715748;0,365269136;1,325328211;1,679625144;-0,618413474;1,610387733;1,594902708;0,907608799;-1,097836018;0,991229986;-0,142220018;20,8
24;3,225314077;2,348706139;1,103819733;1,959548843;2,925404177;-0,983062608;2,276794814;2,422329761;1,644469788;-1,222312689;1,325491;-9,49E-06;27,4
25;2,657923948;1,786579507;0,816072747;1,644314919;2,534571539;-0,828932562;2,054659121;1,952351195;1,519578095;-1,243058801;1,227178937;-0,104147908;24
26;1,097601093;0,434995621;-0,162267005;0,413401504;1,178870827;-0,024448905;1,134382675;0,350452421;0,5978774;-1,34678936;0,978121711;-0,503905062;12,8
