x;y
5;5,12474
4,6;4,26632
6;5,62717
7,2;5,51986
8;5,82082
5,5;4,52563
4,1;3,60309
4,3;3,16245
3;3,92867
6,8;5,85184
6,8;5,42543
5,9;4,80347
5,4;5,52575
4,4;4,56929
5,2;5,06071
5;4,15775
4,2;3,86467
3,3;3,39944
5,3;4,47433
5,8;5,02946
3,5;3,3987
2,7;3,55399
4,2;4,54267
3,2;3,80197
5;4,83565
4,6;4,83172
5,6;6,13244
4,9;5,73511
4,8;4,44249
3,7;4,60879
2;3,59919
2,4;3,50135
2,3;3,98946
2,9;3,73916
3,2;4,44677
4,3;5,45091
5,2;3,90072
5,7;6,02311
4,7;6,20747
2,7;3,63967
3;4,31452
3;4,37674
5,1;5,68093
6;5,79567
7,1;7,11211
6,1;5,35291
4,8;5,03932
4,8;5,26835
6,5;6,37489
4,7;4,7679
6;5,51031
3,5;4,33456
7,4;6,71783
6,8;6,31565
5,8;5,13432
5,6;5,1076
6,2;5,59408
4,9;4,83142
4,2;4,652
6,2;6,49664
7;6,26202
6,5;5,87488
2,8;5,24672
5,4;5,35986
3,7;3,24863
3,9;4,78038
3,7;4,16527
5,2;4,58817
5,9;6,04971
5,2;5,60968
2,8;4,35711
6,1;6,28737
3,8;4,74014
1,9;5,16817
4,3;3,54704
3,6;4,07723
2,9;3,36208
5,2;4,89063
4,9;5,43103
3,8;5,86926
2,4;3,74659
2,3;3,21448
1,1;2,91305
4,6;5,62036
5,8;4,80785
4,7;4,79408
2,5;2,83398
2,8;3,58303
1,5;1,31131
2,9;4,44382
1,7;2,67813
1,8;1,82808
1,6;2,55365
0,9;1,5663
1,5;2,46485
2,4;2,18733
4,2;5,08173
3,1;4,29178
2,7;3,32131
2,8;2,7459
5,7;5,34937
5,6;5,29913
6,1;6,5111
4,5;2,8172
3,9;2,24828
4,7;3,39116
5,8;5,71703
6,9;5,65467
6;3,89209
3,6;3,92637
3,3;2,56654
4,7;2,21645
5,3;4,09026
3,6;3,39355
5;4,50478
3,9;3,59163
3,7;3,55257
5;4,3475
5,9;4,27186
5,5;5,13338
5,4;4,33019
5,2;4,2898
6,6;5,14288
5,9;5,51619
5,4;5,61824
5,2;5,62916
6,8;5,73657
6,8;6,41378
5,7;5,32352
5,9;4,69757
5,2;3,86039
5,1;4,76055
6,6;5,11793
6;7,11385
5;4,4145
