x;y
6,2;4,892
5,4;4,705
6;5,950
4;5,326
1,4;2,124
6,4;5,107
7,7;6,132
7,1;5,611
3;4,252
4,5;4,852
4,5;4,649
3,6;3,879
5,5;5,402
6,6;5,731
4,6;5,828
5,5;4,540
7;4,793
5,7;5,143
6,8;5,907
4,2;4,852
4;5,038
11;4,600
3,4;4,157
4,9;3,691
2,8;3,524
4,7;5,225
4,4;4,753
5,4;5,099
6,6;4,732
4,2;4,304
1,8;3,373
2,9;4,907
3,6;4,752
2,7;2,350
2,4;2,318
2,7;3,241
2,2;3,363
4,4;4,924
6,5;5,572
5;5,596
1,5;3,540
5,9;5,317
6,4;5,945
5,6;5,248
3,2;4,141
5,3;4,204
5,7;5,927
5,6;4,556
3,2;4,448
4,5;2,058
4,4;4,186
4,3;3,362
5,2;4,701
7,7;4,444
2;2,579
5,8;6,081
5,7;5,455
0,5;2,804
1,7;1,704
5,5;5,250
4,1;4,646
3,1;3,503
2,1;3,403
2,5;2,776
5,5;4,264
4,4;3,716
1,1;4,505
0,6;3,685
4,1;3,177
3,9;5,016
4,5;4,184
0,3;3,023
3;3,422
1,6;2,644
1,8;1,643
4,8;4,377
5,2;3,827
2,8;4,581
1,3;0,602
0,3;0,166
1,8;2,764
4,4;4,075
5,2;4,489
6,1;4,517
1,2;1,372
4,2;3,826
4,8;4,529
2,2;3,666
4,1;4,229
3,1;4,794
2;2,873
1,8;2,178
2,7;2,912
4,4;4,038
3,1;3,307
1,3;3,234
0,4;3,140
5,8;6,163
3,1;3,144
2,8;3,848
4,1;3,434
1,4;3,154
2,9;3,581
5,1;5,871
2,4;3,789
6,9;5,743
5,6;4,881
4,6;3,790
4,8;3,303
5;4,088
2,6;3,378
4,1;3,896
6,3;7,495
6,5;6,255
5,3;3,079
2,4;2,410
1,7;2,571
5,9;7,864
5,8;6,208
5,3;4,815
4,7;3,038
5,7;7,035
6,6;6,517
5,5;4,048
5,8;4,338
6,9;5,009
4,8;2,317
3,7;1,760
