Temp;pH;Turb;Fosf;NH3;Kje;NO3;NO2;DBO;Vazao;ppt;OD
27;7,2;42;0,151;0,22;0,93;0,37;0,09;6;306;0,0;6,2
25;7,2;45;0,14;0,26;1,08;0,36;0,13;3;175;0,0;5,4
17;7;13;0,183;0,12;0,99;0,71;0,09;3;92;0,0;6
18;6,9;17;0,107;0,22;1,04;0,51;0,13;6;85;1,0;4
25;6,9;10;0,213;1;2,04;0,44;0,17;6;68;12,6;2,6
27;6,9;15;0,25;0,5;3,1;0,05;0,1;12;70;16,5;1,4
29;7,1;53;0,117;0,16;0,64;0,41;0,004;1;308;0,0;6,4
21;6,5;27;0,094;0,1;0,72;0,3;0,03;2;197;4,9;7,7
18;7,1;11;0,03;0,27;1,23;0,36;0,11;4;102;14,1;6,2
20;7,1;175;0,473;0,13;1,36;0,55;0,09;6;128;1,9;7,1
25;6,2;30;0,176;0,33;1,39;0,55;0,13;5;101;7,7;3
27;6,7;54;0,179;0,14;1,25;0,48;0,095;4;115;7,5;5
21;6,7;22;0,147;0,26;1,28;0,59;0,12;5;84;7,8;4,5
19;6,7;10;0,003;0,69;1,8;0,7;0,203;5;48;0,0;4,5
20;6,7;78;0,333;0,98;2,68;0,39;0,139;10;56;9,6;3,6
22;7;180;0,428;0,33;1,97;0,29;0,109;5;171;0,0;5,5
23;7;290;0,646;0,2;1,66;0,33;0,078;4;159;39,6;6,6
26;6,4;180;0,398;0,46;1,5;0,61;1,21;2;263;9,5;4,6
26;6,8;59;0,222;0,26;1,42;0,67;0,083;3;166;0,0;5,5
25;6,7;61;0,165;0,07;1,4;0,51;0,64;1;128;1,4;7
22;6,2;22;0,143;0,23;1,46;0,84;0,109;3;108;0,0;5,7
20;6,2;135;0,265;0,08;1,8;0,66;0,6;4;117;0,0;6,8
19;6,7;3;0,205;0,59;2,61;0,39;0,186;2;61;12,7;4,2
18;6,5;4,8;0,247;0,42;2,6;0,16;1,39;4;52;0,1;4
20;6,4;43;0,247;0,52;3,03;0,14;0,132;7;105;6,9;11
24;6,7;7,4;0,184;0,57;1,8;0,83;2,49;4;96;0,0;3,4
23;6,9;10;0,156;0,63;2,11;0,39;0,255;5;56;0,0;4,9
25;7;78;0,227;1;1,9;0,29;0,24;6;97;0,0;2,8
22;6,4;46;0,159;0,16;1,34;0,47;0,115;5;139;0,0;4,7
24;7,5;180;0,402;0,49;2,4;0,33;0,06;3;170;32,6;4,4
23;6,7;100;0,419;0,14;1,6;0,25;0,065;4;136;33,3;5,4
23;6,6;4,1;0,173;0,2;1,4;0,52;0,06;2;96;0,0;6,6
22;6,6;8;0,152;0,88;1,52;0,52;0,175;4;77;8,6;4,2
19;6,8;2,9;0,156;0,83;8;0,04;0,018;2;67;0,0;1,8
17;6,6;5;0,17;1,03;2,57;0,29;0,144;4;61;0,0;2,9
17;6,9;2,8;0,219;0,34;3;0,1;0,13;5;42;0,0;3,6
20;7;3;0,328;2,66;4,74;0,05;0,037;7;31;0,0;2,7
23;7,1;2,8;0,39;2,7;3,7;0,12;0,05;3;48;0,0;2,4
26;6,6;34;0,188;0,88;2,11;0,71;0,19;6;84;4,2;2,7
25;7,5;48;0,239;1,3;2,5;0,22;0,18;6;156;0,0;2,2
26;6,4;61;0,181;0,28;1,2;0,39;0,12;2;174;3,2;4,4
20;6,6;130;0,365;0,13;2,59;0,47;0,078;5;138;30,6;6,5
17;7;10;0,279;0,43;2,66;0,51;0,115;4;102;0,0;5,6
17;6,4;10;0,164;0,56;1,55;0,39;0,13;6;101;0,0;5
20;6,6;4;0,294;1,98;2,79;0,1;0,072;7;59;0,0;1,5
25;6,9;30;0,175;0,72;1,71;0,61;0,21;7;109;0,0;3,7
27;7;56;0,154;0,31;1,16;0,37;0,06;3;321;12,5;5,9
25;6,5;125;0,133;0,24;1,3;0,32;0,043;5;323;1,9;6,4
19;7,1;13;0,12;0,69;1,4;0,55;0,724;3;109;0,0;5,6
18;6,9;5;0,178;1,29;2,09;0,37;0,135;9;69;0,0;3,2
21;7,1;61;0,24;0,91;1,95;0,33;0,146;8;113;0,0;5,3
25;7,1;77;0,305;0,96;2;0,46;0,15;8;139;0,0;5,3
23;7;63;0,22;0,09;1,4;0,38;0,082;3;276;0,8;5,7
24;6,9;37;0,14;0,28;1,3;0,48;0,101;3;114;0,0;5,6
19;7;4;0,208;1;1,9;0,46;0,216;6;77;0,0;3,2
19;6,8;6;0,182;1,1;2,1;0,5;0,178;6;77;0,0;3,1
22;7,3;5;0,287;2,1;4,2;0,34;0,248;11;62;0,0;4,5
24;6,4;180;0,804;0,88;2,7;0,29;0,077;10;145;29,0;4,4
28;7;100;0,036;0,51;1,5;0,7;0,142;7;127;0,0;4,3
26;6,9;68;0,24;0,36;1,1;1,15;0,104;4;192;0,0;5,2
21;7,2;10;0,25;0,59;1,14;0,81;0,138;4;111;0,0;5,2
18;7,4;6;0,29;1,1;1,9;0,44;1,61;6;63;0,0;7,7
24;7,1;4;0,233;1,62;2,41;0,46;0,255;8;57;0,0;2
23;7;16;0,227;0,76;2;0,81;0,178;6;55;0,0;3,2
26;6,9;130;0,331;0,26;1,3;0,24;0,036;4;385;0,0;5,8
25;7,1;135;0,524;0,2;2,1;0,51;0,051;5;305;2,7;5,7
23;7,1;9;0,203;0,36;1,3;0,7;0,166;4;103;0,0;4,8
17;7;10;0,239;0,92;1,9;0,57;0,134;7;76;0,0;3,7
24;7,3;4;0,464;1,3;2,8;0,09;0,093;7;81;27,1;0,5
25;7,1;5;0,395;2,1;2,5;0,22;0,255;12;49;0,0;1,7
24;6,4;150;0,319;0,43;1,1;0,19;0,068;9;220;9,6;5,5
24;7,1;35;0,38;0,38;1,15;1,06;0,19;5;172;0,0;4,1
24;7;10;2,79;1;1,1;0,37;0,101;6;54;0,6;3,1
19;7,2;5;0,29;2,3;3,2;0,32;0,18;5;52;0,0;2,1
22;7,2;10;0,488;2;3,2;0,25;0,2;9;96;0,0;2,5
27;7;64;0,251;1,2;1,5;0,43;0,245;7;138;25,5;3,7
27;7,1;101;0,242;0,2;1,2;0,38;0,115;8;210;0,0;5,5
28;7,1;25;0,147;0,2;1,2;0,38;0,115;4;148;6,3;4,4
21;7;9;0,242;0,2;1,2;0,38;0,115;5;73;0,0;3,2
20;7,2;5;0,402;0,2;1,2;0,38;0,115;6;48;0,7;1,1
24;7,1;6;0,396;0,2;1,2;0,38;0,115;6;51;0,0;0,6
26;7,3;13;0,385;0,2;1,2;0,38;0,115;9;83;0,0;4,1
27;7,2;58;0,344;0,75;0,87;0,2;0,17;6;356;47,9;3,9
29;7,3;31;0,246;0,2;0,2;1,1;0,124;4;215;0,0;4,5
24;6,7;20;0,328;0,25;0,4;1,05;0,005;22;106;0,0;0,3
20;7,2;6;0,285;1,9;2;0,24;0,163;7;50;0,0;3
23;7;7;0,02;2,2;2,7;1,1;0,45;6;49;0,0;1,6
26;7;150;0,953;1,11;1,31;2,6;0,165;27;78;35,9;1,8
27;7,1;105;0,037;0,525;0,553;0,788;0,172;11;265;1,3;4,8
26;7,1;66;2,09;0,49;0,92;1,1;0,152;7;125;8,5;5,2
20,5;7;7,5;0,126;0,71;0,76;1,4;0,299;6;73;0,0;2,8
20,1;7,5;4,7;0,513;5,5;5,7;0,85;0,135;7;37;0,0;1,3
23,8;7,4;5,1;1,13;5;5,2;0,9;0,088;7;23;0,0;0,3
24,3;6,9;120;1,53;1;1,8;1,2;0,192;17;76;32,6;1,8
27;7;86;0,674;0,34;0,72;1,8;0,141;7;179;0,0;4,9
26,6;7,1;51;0,551;0,55;0,79;1,6;0,142;5;159;0,0;4,4
21,6;7,1;19;0,062;0,63;0,68;2;0,213;7;109;0,0;5,2
17,8;6,9;170;0,339;0,85;1;1,2;0,065;20;124;33,9;6,1
26,9;7,3;5;0,628;2,8;3;0,93;0,203;5;39,2;0,0;1,2
25,4;7,2;29;0,1;0,3;0,9;1,8;0,14;6;103;0,0;4,2
27,1;7,1;60;0,3;0,2;0,7;1,1;0,14;12;310;28,8;4,8
